1990-01-01|40
1990-09-20|43
1990-11-23|45
1991-02-15|48
1994-01-27|56
1994-04-21|79
1994-07-12|70
1994-07-27|63
1994-10-01|55
1995-06-10|52
1995-08-01|50
1997-08-02|67
1999-12-30|60
2002-05-17|55
2003-06-14|50
2003-10-08|43
2004-06-15|38
2005-01-13|32
2005-05-25|28
2005-12-20|23
2006-12-20|27
2007-12-28|25
2009-04-09|19
2009-06-12|18
2009-12-22|15
2010-12-30|14
2011-12-29|17
2012-06-19|16
2012-12-20|13.50
2013-06-21|9.50
2013-12-27|10.25
2014-12-14|9
2016-12-31|8.75
2018-06-29|18.50
2019-10-11|17.25
2019-12-21|12.75
2020-06-13|9.00
2020-12-19|15.75
2021-12-31|14.75
2022-12-31|9.75
2023-06-24|15.75
2023-09-01|25.75
2023-09-28|30.75
2023-11-01|35.75
2023-12-01|40.75
2023-12-23|43.25
2024-04-01|50.75
2024-12-28|48.25
2025-03-08|43.25
2025-09-17|41.25
2025-12-20|38.75
